7response,context,context/0,context/1,context/2
 Any word from your team? , I'll follow up with our team. ," Lutherville, MD! ", I'm sorry about that. Where did you visit? ,Throwback to last night when our order name was â€œPlz add salad dressingâ€ and they didnâ€t add salad dressing. 
" before he finally delivered my food, cold, of course, ffs "," ""local traffic only"" (40 meters from my house) as if it meant he was not allowed to be where he was and took me walking out to see him "," me to go to him on the main road rather than driving maybe 100 to the next road that lead onto mine, once he did, he took the sign saying "," 5 or 6 phone calls of me explaining that 1 road of the 4 roads that lead to my road was closed but the rest are not, he kept trying to get ","Just had an driver take 20 minutes to figured out that just because 1 entrance to a road is closed, not all of them are "
 Yes and they were absolutely NO help.That is why I came to twitter! U said u are here to help and yet keep passing the buck. No CS loyalty , Our team has recently responded via email. Please reply there if you have additional questions! , I just did thanks , We're here to help! Send us a DM with your account email address and we'll be in touch. ,Ur in app support refuses to acknowledge promise made by phone CS rep for refund. U used to have stellar CS. Now the worst. 
" EK callled an hour ago and did not have any information of the whereabouts of my bag, but still searching hopefully ", They will keep you updated on the location of the bag. , Already done. ," Oh no, please file a lost baggage claim with EK, they will start the search for you. ","Iâ€m missing my bag. Tag 8006080773 on DL0140 MSP to CDG and DL8461/AF0192 to BLR, but was rebooked on EK072. What to do? "
" Yes, he Goodyk has been responded to, Thank you. ", Hi Dee. I'm good: I have Did you see plea for help? ," Hi Gwen, what's going on with your internet/WiFi? ", It's still 1-0. But c'mon We have ,Oh trying to watch on iPad while giving out candy. Literally yelling across the street for score. 
 Thanks for that information. We don't have any information on shipment or fulfillment nor can we speculate on them. , It still tells me the date is pending. Amazon told me they are waiting to hear from Microsoft. , I pre ordered The Scorpio edition the day of the announcement on Amazon and I'm worried that it won't come on release date. ," Hello, thanks for reaching out to us. What seems to be the issue? ",hey I've got a question about the Xbox One X Scorpio edition. 
 No DM received so far. ," Hi There,we has respond you via DM, see you there!- Anwar ", Just came to know how these low fare carriers make huge money. is the biggest cheater among all. Spend 500 more and & opt other airline , What happened brother? ,Real sad experience with adamant robotic staff. PNR REVUWR sry should have booked with you. 
" Spectrum. You have officially been put on my â€œworst and incapable companiesâ€ list, aka shit list, to never do business with ever again. ", admits to having shitty reliability in a professional setting when providing a service consumers pay for?! Iâ€m switching to AT&am Thanks ," time actually had the audacity to say that frequent outages are common in my area, a brand new villa development. Like, WTF?! Who blatantly ", visits. Each one fixing some minor issue and then leaving. Only to have the same issue happen AGAIN after they leave. The Technician this... ,"(Thread) Think twoce before you get â€˜s service in Hopkinsville, Ky. Iâ€ve almost had them a month now and had FIVE service... "
 And I wonâ€t be flying with your air lines AGAIN angry customerðŸ˜¡ , We don't tolerate discrimination of any kind. Please DM your record locator and contact details (phone and email). , Yes. Refund my plane ticketðŸ˜¡ with your racist ass workers , Is there some way we can help? ,I hate 
 Again store is not doing it are asking to bring id proof for local reference Store name : om sai telecommunication sinhgad road pune ," Hope we have addressed your query. Have a great day! Regards,Shweta ", Thank you soo much :) I will this message in the store and get my updated ," Apologies for trouble, you can be able to link the number in maharashtra circle only aadhar card will do of any state. Rgds,Amruta ","I am having maharastra number but my aadhar is having rajasthan's address , how can i link my addhar with SIM , I went to store and they denied to update ( the same number is already registered in database) "
 Iâ€m flying air Canada. Do they normally leave from t3 at sfo? , Good Morning. There is a Centurion Lounge at terminal 3 and 2 other lounges depending on who you are flying. , Hi which lounges does my platinum card get me access at sfo international terminal? Thanks , If you need further assistance please let me know. ,where do I find a list of all the centurion lounges? Thanks 
 Ahhh okay makes sense :) thank you! I hope my package comes Friday ðŸŒ , Orders can ship at any time; once the order has been processed it will be assigned a tracking number. , My order is due to arrive on Friday , I'm sorry for any inconvenience! Can you tell us when your order is due to arrive? ,My package still doesnâ€t have a tracking number I ordered last week...and no updated email just says not shipped 
" Absolutely, "," Got it. Just to clarify, is the driver updated through the manufacturer's website? "," Touchpad gestures stopped working after updating, reinstalling drivers didn't work, What To Do? "," Hey, there! We'd be happy to help. Can you tell us more about what you're experiencing? ",I just updated my pc to 10 its amazing but i have some issues i hope you can help me 
" Then please reissue it. Call it whatever we need, extension or reissue, just take care of your customers. "," Unfortunately, it can not be extended, Chris. ", Of course it can be extended. Someone at just has to approve it. ," Hi, Chris. I understand and & my apologies for any confusion. However the voucher, is only good for 1 year and & cannot be extended. ",As a longterm cust and Skymiles mem not happy re: my $1000 voucher being denied due to being 48 hours past expiration. 
 Will anyone plz care to advise on the matter?? Y is such neccessity to bring a local person as guarantor for ekyc? Any govt mandate on this? , Sorry for the trouble caused.We request u to visit maharashtra circle idea store to link ur idea number with aadhaar card. , Idea no. 9689904996 Alternate no. 9423912452 ," We are here to help you. Please DM your Idea and & Alternate number for further assistance. Regards, Mahindra ","I am frm Bihar,employed n posted in Maharashtra. Adhar card is of Bihar. Idea care said cant link adhar to my MH no. Plz hlp "
" Basically every channel, especially local channels and ESPN though, just balance out those levels a little bit "," Hello, please send us more info in dm on this issue. Like what channels is this happening on? ", The problem is the xfinity commercials are 50% louder than the shows so they startle me when they come on relay this to the advertising dept ," Hello, thanks for reaching out about your audio concerns and I'm happy to help! Can you please DM the full address? ~AT ","Hey your commercials gotta relax, they're way too loud "
 Not at this time. Thank you! ," Okay, was there anything else I could help with?-JG ", Thanks for contacting. Had to do a box reset. Seens to be working fine now. Will contact if problem occurs again. ," Hello, thanks for reaching out about your concerns and I'm happy to help! Can you please DM the full address? ~AT ",Why must your equipment mess up when I'm watching but not during my husband's 7 hour binge fest of Law and Order? 
" Nope, never. ", Glad to hear it was corrected. Did this ever happen to your service before?-Sean , It was corrected about 9:50pm. And only NBC. ," Hello, thanks for reaching out about your concerns and I'm happy to help! Can you please DM the full address? ~AT ",no audio tonight except background music! Show and some commercials in What is going on?! 
 This is terrible PR for cox if they wont even help a streamer out. , You need to help not me , Oh No! We'd don't want you to feel this way. How can we help? What issues are you having with your services? , Dude Cox is really awful ,are you kidding me after everything i've been through even adding a new hardwire line and ruining my house (SUGGESTED BY YOUR TECHS) I STILL CANT STREAM PROPERLY?!?!?!??!?!?!?!?!? 
 Found out my partner's line goes through thanks. , Sorry the helpline is usually restricted to the business admin contact. You can call with your admin's line or do the e-mail. , Sure. Is there any reason 0722 002 222 doesn't work? , Send an email to __email__ and don't forget to put a contact number. ,Hi. My organization WebHack Ltd is struggling to receive business admin credentials for B2C shortcode 879962. Please help ðŸ˜­ 
" No I'm on your website, don't call me to ask me to pay my bill if you won't let me long on to pay it. ", Are you using the My Fios app? What message are you getting? , Residential , Are you referring to your wireless or residential service? ,"oh how you call me everyday to tell me to pay my bay my bill, but whenever I try to log on to do it, your site is down usuck "
 The pick up has been arranged 5 times now and cancelled at the last moment without citing any reason! , Was a pick up arranged on your order or were you asked to self-return it? Please tell us more. , It is a doorstep pick up but I need to bear the charges for the courier while I am struggling to get a refund for the already paid order , Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ,customer service. New low in e-commerce. Trying to raise a return request 5 times. 
" Oh you are so considerate, then why can't you treat the orders you take with same consideration, customer service "," Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. "," Being by the delivery guys for days, reached out to customer service multiple times but hardly any resolution ! ", Could you please elaborate your concern about the fulfillment center so that I can assist you accordingly?^SF ,where does a customer goes to share his/her concerns about the fullfillment centre 
 And now it's back. More DNS issues. ," Great to hear, thank you for letting us know. If you ever need us again we will be here for you 24x7. ", You're DNS servers werent responding. We are good now. , Let's investigate this further. What lights do you have on the router? ,Just got smoked by an half way through my stream for the night. 
 And it's down again. What the actual fuck right now. ," Great to hear, thank you for letting us know. If you ever need us again we will be here for you 24x7. ", You're DNS servers werent responding. We are good now. , Let's investigate this further. What lights do you have on the router? ,Just got smoked by an half way through my stream for the night. 
 So this order 407-7402036-7182732 Placed on 30th and supposed to reach me on 2nd November Now is this as per amazon prime delivery std ?? , Orders placed with us are basically shipped and delivered as per the estimates shared. Kindly let us know if there was a miss. , Placed the order on 30th October and I am getting it on 2nd November , Prime subscribers are eligible to get free One-day or Two-day shipping. May I please know if the package was 1/2 ,whatâ€s the use of amazon prime membership if the product reaches me after 2 days of placing the order al false promises 
" If I dm yâ€all, I guarantee yâ€all going to say the same thing and no I donâ€t want no other phone and no other GB ", Send us a DM so we can give you more info on your down payment! We're here for you! , Thereâ€s nothing yâ€all can do... yâ€all not changing yâ€all down payment so fuck it... yâ€all going to get a lot heat tho , Hey if you want help you have to ask nice ,Hello Twitter!! Is bitch ass the only company charging $500 down payment for the 256 gb iPhone x?? 
 Premiere Pro , Are you using any Adobe Product? Please confirm. ," That said, best export settings for FB vid would be fab? (I've not had probs previously ", Let us know if you need any help! ,"Um, I need a bit of help with an audio issue PremierePro to Facebook. Distorted once uploaded. cry* "
 the recipient doesn't pick phone calls or reply text messages , Kindly follow up with recipient for refund or report to police.^DY , What shall happen now... Was in the event to cancel but time elapsed? , We could not reverse since the wrong recipient has already utilized all the funds.Make use of Hakikisha to reduce errors.^DN ,kindly assist to reverse trans no LK18Y9XO5S Confirmed. Ksh309.00 sent to GABRIEL NDUNGU +254742089961 
 How do I check if prime music is working on my echo device? ," In order to stream music from Amazon Prime Music on the echo devices, the customer has to be an Amazon Prime member. 2/2^AR ", Also when will Amazon prime music be available for Indian users of Alexa? ," This feature, as of now isn't available. It will soon be available. Kindly stay tuned! ",why is Videos option missing in the skills for Alexa in India? Not able to connect my fire TV. 
" Seems like it's a random issue, checked just now mike and molly episodes are back ", Thanks for bringing this to our notice; we'll check and forward this internally for review. , Till now I have noticed it in a couple of episodes of mike and molly and also in 'the middle' , We'd like to look into this for you. Could you please let us know the name of the series and the episodes which shows as unavailable ? ,why are some episodes in the series showing as unavailable??? 
" She worked first class. Blonde hair, shoulder length. Prob late 40s. ", Do you have a description of the crewmember? , Flight 254 from Maui to LAX. First class (seating and service). , We've got the best in the business and our loves taking care of everyone! Thanks for letting us know how great she is. ,Flight attendant on helped walk an elderly lady 2 the lavatory. I wish I wouldâ€ve asked the FAâ€s name. She deserves kudos. 
 train home had half the carriages removed at st David's and is now stuck at central while people are shoehorned on. When is soon? , Apologies for the problems of late. Lots of work is being done to address these issues. It should improve soon. Lewis , With the continual short forming of commuter time trains and cancellations it really is an adventure with you lot. , Hi James. Sorry for the earlier cancellation. The next one due to run is the 06:43. Lewis ,any idea when the first train from Exmouth will run today? 
 Thank you :) , I see what you mean. I have resubmitted your ticket for credit. It should be posted within 7 days. ," Yes, thatâ€s the one "," Hi, Chris. Is this the flight from Amsterdam to SFO on the 23rd of September? ","I received miles for outbound flight on KLM in sept but not return flight, how can I get those points? "
 I donâ€t have anything in my DMs. ," Hi Kaetha, Here to assist, Please check your DM's for further instructions. ", All it says is â€œThe code you entered is inactive. Please check terms and conditionsâ€. , Glad to assist! Are you getting an error message or an error code? Please let us know more details to better assist you. ,"I bought a prepaid code for PS+ and it isnâ€t working, can you help me? "
 I called. They couldn't help and wanted to charge me an unreal amount to change a flight. Isn't the app cheaper to change things? ," In the interim, please call us at the number provided for booking assistance. (2/2) ", So I'm hosed on a flight because of maintenance. Yea me! Boo Southwest! ," We appreciate your feedback, as we're always looking to improve and hope for more favorable circumstances in the future. ",I have rapid rewards credit card that's wasted because your app sucks. Oh well for my points. Y'all suck 
 Please confirm your move to QZ508 26NOV17 DPS-SIN 17:35-20:15.Thanks-Emir , Departure 17:35 I mean , 26 nov from bali to Singapore 17:35 in evening ," Sorry for the inconvenience, Gauri. May we have the preferred move flight date and time? ",please share your singapore call centre contact details need to change urgent booking 
 I av done dat...stil nt there...bal is 0.35 , Please dial to confirm 4x bonus. Thank you. SO , SN...__credit_card__ 07055534656 is my number ," Hello Oladimeji, may we have the card serial number and your mobile number? SO ",Tryin to load a card since yesterday wit 323 telin me card has bin used after several attempt. Yet to b credited.Kindly luk it up 
 Thanks. I had removed my number ," Request you to remove your number from the post for security reasons.(2/2) Rgds, Darshan. ", It's 9032 868 868 ," Hi ,sorry about the trouble but we don't want you to go. Please DM your nos. for us to reach you. Rgds, Ganesh ",Fed-up with want to port for 4G and unlimited calling plans what plans do u have 
 Your uber drivers are thieves...anytime one forgets a possesion in thier car they claim not to see it. ," Hi, Udayan. We're currently reviewing your email and will be in touch shortly. We appreciate your patience! "," , email __email__ ", Sorry about the trouble! Please send us a DM with your email address and more details so we can connect. ,"I raised one complaint yesterday, yet no action. Ur driver is rude, threaten me in mid journey and u do nothing... "
" Hope we have addressed your concern. Have a great evening! Regards, Neha L ", Ok Thanks. ," on whose name you want to register the number and previous subscriber document also. [2/2] Regards, Arti ", How can it now be registered back in name of real subscriber using her own aadhar card? ,subscriber has Aadhar card but issues in finger print scan so phone was registered using subcribers father aadhar 
 Any update on this? my card has inconvenienced everyone at Hemel station again this morning. Sorry , Thanks. Hopefully we'll get to the bottom of it. Sorry for any inconvenience caused. , Both cards used are brand new style MasterCard. The card works if I go to ticket booth and pay. ," Hi, that's interesting. We'd have to look into it. Which machine(s) did you use/have you used? ","Iâ€ve found critical bug in ur ticket machines. If u use new MasterCard contactless, machine goes â€˜Out of Orderâ€! "
 Or you find a way to get us to Rome the same day. Should matter if we paid avios or not ," We're so sorry to hear this, Mark. Do you have travel insurance to cover your hotel and tours? ", Nope I did not get an explanation. I suspect because I booked with miles I have hotel reservations tours that were non refundable. ," Did our staff explain why you were unable to be rebooked for the same day, Mark? ",Trip ruined Leaving for Rome Friday and flight cancelled. They wont rebook trip from Dulles same day. 
 Thatâ€s fine no worries your staff are keeping us entertained with poems ðŸ˜‚ , The service is currently running 4 minutes late. Apologies for any inconvenience Josh , The 7:41 from wokingham to Guildford , Hi there. Which service are you referring to please? Josh ,how delayed is the train from wokingham to Guildford going to be this morning? because I have an exam at 9am and I need to be there 
 08058357087 , We apologize. May we have your number for assistance? SO , Deduction of 150 from my account for caller tunes which I never subscribed to ," Hello Savage, we apologize. May we know the exact issue? SO ",do you have to wait for someone to recharge before you deduct their money for no reason. 
" 2/2 my card. Needless to say, the money is on hold and canâ€t be used for anything else and thatâ€s the inconvenience ðŸ˜” "," 2/2 account within 5-7 working days. If not, please visit the store and my colleagues will be happy to look into this for you Paul ", I used one of the self service kiosks so obviously there was something wrong with the system it wasnâ€t a human error ," Hi, that's odd. I'd advise that you go back in to store with your card and receipt and they'll assist further from there. Drew ",I made a purchase in your Cricklewood store yesterday and it seems you charged my card twice. Not happy! ðŸ˜” 
" As discussed over call, I have sent email As explained the vouchers of 1000 has not been issued by them. Request you to help. ", We apologize for the inconvenience caused to you please share in your contact details so that our customer team can assist you. , On what basis has the vouchers beeing deemed active Please come and explain. Why are we in loss , Hasnt mailed any reissued vouchers of 1000. But instead cheated us for their loss. Please help it sort here ,"In the email , amazon states very clearly bookmyshow has reissued the blocked vouchers ? "
 Yes I've filled details but still haven't received any call. And I Yesterday I called to customer care and they kept me waiting for 30 mints , Have you submitted your details through the link shared previously? , I still haven't received any call from your end. Kindly resolve my query ," Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ",my one rufund is pending since last two months order id is 404-1737173-1054737.every time I've been asked to wait 
 I was actually waiting for the 07:51. Used to get the 08:15/16 but that was always delayed and made me really late.... , A service is due at 08.15 which is currently running on time Josh , I'd quite like to get a train from Burnham to Paddington and back again so I can be on time , Hi there. Really sorry to hear this. Which train are you on please? Josh ,I actually seriously can not remember the last time I got a GWR train that was on time and wasn't delayed ðŸ˜³ðŸ˜³ðŸ˜³ðŸ˜³ 
 best service and & network in india. ," is ready for delivery. When it is ready for delivery, we will send you a communication through appropriate channel(3/4) ", Please be assured that all customers who have done the pre-booking of JioPhone will receive it as soon as your JioPhone(2/4) , We have started the delivery of JioPhones in phased manner to avoid inconvenience to our customers.(1/4) ,23/08/17 à¤•à¥‹ à¤œà¤¿à¤¯à¥‹ à¤à¥‹à¤¬à¤¾à¤‡à¤² à¤•à¥‡ à¤²à¤¿à¤ â‚¹500 à¤œà¤à¤¾ à¤•à¤°à¤•à¥‡ à¤¬à¥à¤•à¤¿à¤‚à¤— à¤•à¤¿à¤¯à¤¾ à¤¹à¥‚à¤‚.à¤†à¤œ à¤¤à¤• à¤à¥‹à¤¬à¤¾à¤‡à¤² à¤¨à¤¹à¥€à¤‚ à¤à¤¿à¤² à¤°à¤¹à¤¾ à¤œà¤¬à¤•à¤¿ à¤–à¥à¤²à¥‡ à¤à¤¾à¤°à¥à¤•à¥‡à¤Ÿ à¤à¥‡à¤‚ à¤†à¤¸à¤¾à¤¨à¥€ à¤¸à¥‡ à¤‰à¤ªà¤²à¤¬à¥à¤§ à¤¹à¥ˆ. 
 Your customer support told me it has battery! ," It doesn't have a built in battery, so plugging in to an electric socket is a must. You can use the ""Drop in"" feature 1/3 "," 1. Does it work without being plugged in to power? 2. If yes, what is battery life? 3. Can it be used for receiving and making calls? ", Sorry about that. Kindly elaborate the issue and we'll be happy to help. ,Anyone here who has used Amazon Echo or Echo plus? How is the experience? Have a couple of questions that their rep doesn't know 
 So are you saying that the seat reservations Iâ€ve paid Â£80 each way for might be inaccurate? ðŸ¤” ," We appreciate your concern, but we would be unable to guarantee which aircraft will operate this flight. "," Thanks Kelly, but I remain confused about what kind of 777; seat reservation on BA shows a seat layout in WT+, but flightradar shows BA5 using old with old WT+ sears and poor IFE, so Iâ€m a bit anxious! ", operational reasons. Weâ€re sorry for any disappointment caused in this instance. 2/2 ,"Hi there, confused re aircraft for BA5 on 18th Nov; our booking shows our seat reservation for a 777-300 but flightradar shows the use of old 777-200s (vice 787-900 at time of booking!) Can you clarify please, as thatâ€s a massive downgrade. "
 about 10p from memory , ðŸ¤” The SIM would require usage in order to remain active. Have you used the credit on the device at all? , SIM still works. Only topped up around 2-3 mths ago with Â£10 but now itâ€s Â£0 ! ," Hi there. If the SIM hasn't been used for around 6 months the number would disconnect therefore, the credit will expire. ",Hi. Should by O2 PAYG credit expire? If so why? I need it for my emergency phone! 
 Thanks for the prompt response... , Hello thank you for choosing Airtel. , Thanks... I've sent the details to ur DM... , Hello all inconveniences regretted.Thank you. ,I've sent you guys an email since morning but still no reply 
 Someone at O2 sorted it for me thanks. It was to do with TuGo being active. As soon as it was cancelled 1710 worked. ," That doesn't sound right, do you have voicemail set up on your phone at all? ", It does not sound like a normal call. I have used this a while ago. When you dial 1710 there is no announcement. ," Hi Colin, ðŸ˜• What happens when you dial the number? Have you used the service before? ",can't get your call alert service to work by dialling 1710. Please help. 
 Which I believe falls within their boundary. , The gentleman in question is not in the tube station though is he? Heâ€s on the pavement outside. , Surely your station supervisor should be out of their ticket office looking and reporting this? ," Hi, we're working closely with to stop this on the network so if you notice it please text all details to 61016. Thanks ",hi just interested to know if u r now allowing begging. There is a beggar camped out South Ealing tube entrance morning and & night? 
 Still not there :( , Thanks. Could you try logging out of the app and back in again? Does it now show your New Releases? /GK ," Thanks, Spot ver-1.0.66.478.g1296534d it's on a macbook pro Yosemite ver 10.10.5. "," Hey Yann, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK ","hi, my new releases for you has vanished. pls send help! "
 What's the reason for the delays? , I can see the 08.22 is delayed by 14 minutes at present. Really sorry for today's delay- Josh , I travel on either the 8.13 or 8.22am Southall to Paddington , Hi Tasmin. Sorry for the delays of late. What service are you travelling on? Lewis ,what is with the delays everyday from Southall-Paddington? Train driver arguing with station employee madness 
 kelvin walunywa khisa ID 30510126 ," Hello Kelvin, DM your names and ID number, we check and advise. ", i visited customer care my mpesa was activated now mshwari not working iam told to visit again my no 0792088003 ," We have a slight system issue on Mshwari on our side, apologies for the inconvenience caused. ",i have requested a loan on mshwari it has been confirmed but not available on my account 0727985008 
 Nah. It is what it is and & it's better than uverse and it will have to do until Metronet gets going here or we can get rid of the monopoly and & get Xfinity in here. ," Unfortunately, we do not offer Whole House DVR. I can look into your Internet speed issues, can you please DM your account or primary phone number? "," Can you make it so I can record shows in the living room and & watch them in the bedroom? Can you make my ""100mbs internet"" provide more than 71mbs on an Ethernet cable two feet from the modem? "," Hello Lrry, is there anything I can assist you with? ",You know it is almost 2018 and & the fact I can't watch recorded shows in different rooms is really unacceptable. 
" Yes. A lot of people I know have said the same thing.,that Sainsbury's trollies don't accept the new pound coin!! ", All of our trollies should be updated to accept the new pound coin. Have you tried putting it on the top of the insertor? Ewan , Scarborough , Sorry Susan. Can you confirm which store you visited please? We will ensure this is fed back for you. Thanks. Gordon ,"when are you finally going to convert your trollies to the new pound coin,every other supermarket seems to have done so "
" I was actually pointing out an error, as it was stated MAN-LCY began in May, it actually re starts in December. Just helping you get customers and not sending them elsewhere lol. "," Hi Larry, thanks for getting back to us. If you ever want to check flights for a specific day our Sales team will be happy to assist you. ", Actually some MAN-LCY flights operate over winter too.... ," Hi, Betty. Flights will start from May 2018. Will this be a regular jaunt? ",when are the City Manchester flights? 
" Thanks for confirming. I was looking for business class with wifi on this route, sadly. "," Unfortunately, we don't currently have Wi-Fi on this route, Howie. However, we're currently in the process of rolling it out on all of our aircraft and hope to have this completed by 2019. "," Okay, so no wifi from LHR to NRT, right? "," Hi Howie, we're currently testing the wifi on this route. ","Hi, I just wanted to check the info on your website is up to date. You have wifi ONLY on London to NYC flight?? Is that all?! "
" Another internet outage tonight in Rochester, MN. You folks really need to improve the reliability. I have work to get done tonight and my business class connection is down yet again. ", I truly apologize once again for the issues. Please let us know if any assistance is needed as we'd be happy to help. , Make your network reliable? It's assinine that I have no service during the day on a Saturday. Just another monthly occurrence. Annoying to have to run everything off of cellular just to get connected. , Our apologies for any frustrations or inconvenience John. Is there anything we may be able to assist with? ,it's amazing how much my residential hardware stays up compared to commercial network stuff that has. and this is the company that wants to abolish free speech on the internet and have us pay more for accessing certain websites. ROFL 
 So they never actually answer? There voicemail claims they had â€˜high call volumeâ€ but is it always left to ring out? , You need to leave a message and if it is found then they contact you. , And can you answer this is the lost property line ever manned? Donâ€t want to waste more time on it if itâ€s more window dressing. , Hey again! This is a real question I donâ€t know if worth persevering? ,"A new day, a new attempt! does anyone man your lost prop number? I called many times yesterday, left msgs, nowt... "
 We would suggest that you reach out to Reliance Jio on how you can use this feature. Tweet us for more inquiries. , Yes it is , Let's work on that Mahesh! Is it about making calls over VoLTE on Reliance Jio SIM card with a Lumia 950 phone? , about updates? ,", how can I make voice calls using ""reliance Jio + MS Lumia 950"" combination in India "
 Why was that train delayed? Was it perhaps broken? Thereby causing â€œreactionary delayâ€? , passed through various areas. 2/2 , What on earth is a reactionary delay? Is this the new term for congestion? , train. May I ask where this information was provided from please? 2/2 ,so todayâ€s 8.22 from Fleet late because of 2 broken trains! 1 more broken train than yesterday. You ARE spoiling us. 
 No I'm with another provider. ," This isn't a number we're familiar with Keith, are you with us at the moment? ", 0161 814 4654. They claimed I had been looking at O2 website and had got my details from there. I haven't looked at your website for years. ," Hi Keith, can you please let us know the full number and we'll check if this is us? ",Why am I getting calls from an 0161 number claiming to be O2? 
 That's great as long as my mum can reach me from her landline when she is in trouble or the bank can text me verification codes. , There are other third party calling and messaging apps available Alan. , My handset is perfectly adequate for my needs and does not need replacing. I came to O2 because of TUGo where I do have signal issues. ," Hi Alan, we're continuing to add compatible handsets. Are you due an upgrade soon? Have you always had signal issues? ",What will be replacing for customers like me who don't have a phone that will support WiFi/4G calling? 
" Now only one flight has been posted, three to go from the same booking please..... "," This doesn't sound right, when did you travel? "," Normally tier points are added in two days time, now it takes longer? Maybe because I reach gold status that BA is slowing things down??? ", We're so sorry to hear this. Is there anything we can help you with? ,a true failure once again Sadly I only still fly you for my points as I would have moved long time ago! 
 Also your reservation signs aren't working in my coach. It's all a bit not right. ," We can't always guarantee the preferences you request, we'd suggest using the seat picker in future. ", Yes. I specifically asked to be on a table and near a socket. Yet I'm in the opposite situation. , Had you reserved a seat with one? ,on the Glasgow train at Euston. I was unaware I'd have to go the entire journey without a plug socket... Disappointed :( 
" ""Professionals sells items for you"" The listing the valet put up looks like the bare minimum. I am totally upset about this. ", and will call the ebay customer support to get my items back. ebay valet does not do your item justice. , the boxes looks damage from the pictures the ebay valet posted. I'm glad that I check my account everyday to see the status of my items , Full descriptions on them or their title are plain as hell. I'm also sad to see that my items were once in mint condition w/ box and now ,valet is the worst. I just found out my items are being sold with being notified via email that they are up. The items don't even have 
 One more question. Can i book the non-refundable rate? , You're welcome. Have an awesome day! , That's what i thought. Thanks. ," Thanks for reaching out to us and for being an IHG Rewards Club Spire Ambassador member. I'm afraid you can't. To qualify for the Priceless Experience promotion, you must use your personal Mastercard credit or debit card. Hope this clarifies your concern. ",Question about the Priceless Experience offer. Can i use my corporate card and qualify if it's a Mastercard? 
 I can email a screenshot next time but to where? Sorry I rarely check messages here. I'll try to do this more often. ," This isn't what we like to hear Michael,can you DM us a screenshot of the page you are seeing? Have you also tried installling1/2 ", Oh no I tried this. I also tried using another browser. That ad shows up at other sites now also and sucks the bar right down! ," switch to using a new browser, and & see if that helps. I also suggest installing ad block software in your browser to help. 2/2 ",THAT BISSEL AD IS AT HTML VIRUS! IT SUCKS THE SCROLL BAR TO THE BOTTOM! IT'S RUNNING NOW SO NOBODY CAN USE EBAY!!!!!! GOD FIX IT 
" Some of our menu, that being one of them, are limited edition Sally. It might come back next year! "," Jesus christ surely they were more popular than the steak and cheese ones, which are still available?? THIS IS SICK "," We've no plans to right now, sorry â˜¹ï¸ ", Please respond to this Greg ,BRINGðŸ—£ï¸BACKðŸ—£ï¸PULLEDðŸ—£ï¸PORKðŸ—£ï¸ROLLSðŸ—£ï¸TOðŸ—£ï¸THEðŸ—£ï¸BRISTOLðŸ—£ï¸BUSðŸ—£ï¸STATIONðŸ—£ï¸BRANCHðŸ—£ï¸IMMEDIATELY 
 No Thank you. I appreciate your response ," You're welcome. Would you like to be contacted back about this? If so, please DM your email address. Thanks! ", Store 1780. Haltom City Texas. I wonâ€t be paying that plus 3.00 bucks tip for the delivery driver again. Thanks for your quick response , We're sorry you're unhappy with the delivery fee. Please let us know your store number and we'll let the operators know your concerns. Thanks! ,A 3.75 delivery fee for delivery pizza. Ouch! 
 Yeah it happens with you! Stuff that is marked amazon prime and says I'll get it in two days and then at 8pm on the second day changes ETA. , I'm sorry to hear this! Does this tend to happen with a certain carrier? Keep us updated! , Yup and this is the third time , Oh no! Have we missed the delivery date on the confirmation email? ,3 out of 4 of my orders have not actually had two day shipping. Feeling ripped off. 
 Okay ðŸ‘ thanks for your help! ," Thanks Dani, I've spoken to GWR and this shouldn't be a problem. Please listen for updates on board for further information on your connection :) ", The 21:02 from Reading to Plymouth. Iâ€ve booked to change at Newton to get to Torre. ," Hi Dani, which train are you currently on and which service are you looking to connect to? ",If my train is running late will the next train wait? Iâ€m worried as itâ€s the last one of the night ðŸ˜¦ 
" But if i Book another route, for the same day, im Gonna have 2 flights under my name!???? Thats not good!!! How can i cancel? ", Sorry but please be inform that we do not allow any booking cancellation once it has been confirmed. &gt;&gt;&gt; and ," Thank You, so then, i need to cancel ? And then buy another ticket? ", Sorry but Route Change is strictly not allowed. Only Flight Change date/time is possible.-Mariya ,i already bought ticket from Bali-Tokyo can i change destination and go Instead to Hanoi? Same date 
 Thank you , Yes that will be fine. Marc ," Thank you I did it in store and just got a reference number but didnâ€t put any of my details in, is that okay? "," Hi Kylie, the store will honour the price for the duration of your reservation. just take a copy in with you. Jules ",I reserved an item it wonâ€t be at the store until Saturday it has since gone up in price which price will I pay?thank you 
 Why do you label it as bundle and get everyone on the internet false information? ," Thanks for reaching out. offer in Black Friday is just for the console, and joycon controllers. There are no games included. ", Your Black Friday ad says â€œbundleâ€ what does this mean , We sure can! What is it that we can help you with? Thank You. ,hi I have a question can you help me@ 
