7response,context,context/0,context/1,context/2,context/3,context/4,context/5
 You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ ,Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!! , , , , , , 
" Don't you worry Carol, my lips are shut!! Chloe "," Aahhrrgh! Keep mum, Iâ€m still watching ðŸ˜„ ", Somebody else has told me!! I'm gutted :( Chloe , My lips are sealed ðŸ˜‹ , Please don't tell me Carol!! I can't wait to go home and & find out!! Chloe ,Fresh cream palmier bakery Bellshill gets my vote for baker ðŸ‘¨â€ðŸ³ðŸ˜˜ðŸ˜‹ðŸ’—just catching up on donâ€t know who won yet ðŸ˜„ , , 
 Thank you nike , While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2) ,"I'm new to nike+ run club app, should i start with guided runs or my couch? ", , , , , 
 Sure. Please drop me a message now. ," Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ", Iâ€ve asked your sales rep about the payments and she wasnâ€t ready to listen to any issues that I had. , What exactly is the issue you are having? , Amex Platinum and Amex everyday card. , I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info. , Nope. They werenâ€t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me. ," Hi there, I am so sorry to her that. what exactly is the issue you are having? "
" Okay, danke fÃ¼r die Info "," Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. GruÃŸ ","also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's? ", , , , , 
 Yeah idk the shipping company and it says â€œmike Ziemerâ€ signed for it in the mail room at our building lol , Remember my head phones and they brought them within minutes ,My package from with my Halloween costume was â€œdeliveredâ€ Friday but I donâ€t have I so searching everywhere for a last minute idea. , , , , , 
 I have the iPhone 6s Plus and just did the most recent update. ," We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1? ",Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.ðŸ˜¤ , , , , , 
 ? hello ,"my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much and & sound is still on Mac not tv? ", , , , , , 
" Yes it did, 11.0.3 ", Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running? ,MY HOME BUTTON DOESNâ€T WORK , , , , , 
 I can not find an option to get it there. It was just always there when playing. ," Just to confirm, this is only happening with Spotify, correct? ", The app is still there. But no longer able to control it from the lockscreen. , Thanks for reaching out to us. Are you experiencing the missing app after restating your device? ,After update no spotify on my lock screen?@AppleSupport , , , 
 We have received your DM and will follow up with you there. , Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous , We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect? ,Literally stranded because of and because there is no support phone number I have to wait from a message from Smh ðŸ¤¦ðŸ¾â€â‚ï¸ , , , , 
" Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didnâ€t queue up like others "," Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? Nick ",3/3 on the wrong which I really donâ€t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed inðŸ˜¡ , , , , , 
 I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip. , I'm sorry. The earlier flight may not have been available at the time of your scheduled change. ,"why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning. ", , , , , 
 doesnâ€t work and i even tried deleting the app , Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS , Premium and & when iï¸ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesnâ€t repeat ," Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB ", iphone 7+ and i have the most recent update for spotify ," Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB ",iâ€m pissed my shuffle and repeat button just donâ€t fucking work and iâ€m getting frustrated , 
 ok thx ," Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS ",is there a way to find non-explicit songs that are explicit , , , , , 
" Sure, how much would an upgrade cost, out of curiosity? "," caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? 2/2 ","Hi My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please? ", , , , , 
" caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? 2/2 ","Hi My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please? ", , , , , , 
 email address and contact telephone number. We'll look into your complaint and contact you for an update 2/2. ,"will you ever address my complaint/claim? Or, do you just ignore it until the 2 yrs are up? ", , , , , , 
" Booking ref MP79V2 and QMAS91 second one is my son's, have sent all info in being told I'm not entitled to anything? "," us your booking ref, email address and contact number. 2/2 ", Will you pay me my hotel and good bill for cancelling my flight home ,Get the payday party started with 40 European Destinations for Â£40 each-way or less , , , , 
" Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ","I made two bookings, but only received a confirmation email for one of the flights. Little help? ", , , , , , 
 Full name: David Simons , Amsterdam to London on 28/11/17 London to Athens on 30/11/17 have received confirmation for this Contact: +49 1708733216 ," Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. "," Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks. "," Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ","I made two bookings, but only received a confirmation email for one of the flights. Little help? ", , 
 Amsterdam to London on 28/11/17 London to Athens on 30/11/17 have received confirmation for this Contact: +49 1708733216 ," Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. "," Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks. "," Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ","I made two bookings, but only received a confirmation email for one of the flights. Little help? ", , , 
 I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. ,tired of getting charged for equipment that was returned months ago. Please stop it. , , , , , , 
" address, and phone number so I can assist further with this issue. Thanks! ",hi I got some odd text alert from you I don't have your service why would I get alerts , , , , , , 
 Erica on the lax team is amazing give her a raise ty , Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance. , Could you have someone on your lax team available to guide me to my gate ASAP ,have a flight at 330pm (45mins) Iâ€m almost to Lax. Iâ€m legally blind and didnâ€t know where to let you know I need assistance. , , , , 
" Right, but I earned those. I also shouldnâ€t have to pay to pass them to my own spouse. You need to change your program. ", This is a great option for customers who want to share miles and it's cheaper than having to purchase them. ,"Iâ€m sorry, what? Itâ€s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? this is ridiculous!! ", , , , , 
" By 'upfront' I hope you don't mean 'upfront fees""! DM sent! ",just called in to switch from AT&am They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging shame! , , , , , , 
 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ,"hi! i need some help with a booking i need to change, and made a mistake on. who can i contact? ", , , , , , 
 Yes it does. You need to select the return journey then in the ticket flexibility menu you can select open return ,Hi- does the new app have an option to buy an open return? , , , , , , 
" Not at this stage sadly, but the some lines will reopen shortly so services will be on the move ", My daughter is on the Euston train stuck just outside Preston. Any timeframes for arrival? ,Due to the emergency services dealing with an incident at Preston all lines are closed. , , , , , 
 Some lines will be reopening shortly so you'll get through but delays are expected , We are enroute to Preston Now from Euston. Will we have to wait it out? ,Due to the emergency services dealing with an incident at Preston all lines are closed. , , , , , 
" What are your targets for next season? I see your prices go up, so I assume you've set performance targets reflective of that. "," These delays are out of our control, but we do work with Network Rail to try and reduce any problems "," Oh, that's nice. What are you doing about it? What are you targets next year? "," I understand the frustration this causes, Andy "," Always some supposedly acceptable reason, yes I get that, but when one uses the trains every week and spends a lot of money, for it to be late regularly is just not acceptable. ", Sadly the service has been delayed due to a fault on the line , The 06:20 from Euston. Now I'm here waiting on the 19:00 from B'ham int. Also late. ," Hi Andy, really sorry to hear this. Which service are you travelling on please? "
 Its working again , Please DM us a picture of the error you're receiving. , consider this your 1st reported error ," Hm, we haven't had any reported errors lately. Have you tried accessing your RR account via a different browser? ",is down on the my account page ðŸ˜‘ðŸ˜‘ , , , 
" Hm, we haven't had any reported errors lately. Have you tried accessing your RR account via a different browser? ",is down on the my account page ðŸ˜‘ðŸ˜‘ , , , , , , 
" Me to! I'm super excited, get to try this entire trip all over again, and at least this time I know I'll have the best time due to y'all â˜ºï¸ ", We've got the date circled on our calendar! Counting down the minutes until we can welcome you onboard. ," You'll be seeing me at the end of this month for the concert I missed my flight for because of American Airlines, thank you again guys ðŸ’• ", We hope to see you onboard soon! ," You guys are amazing, seriously thank you from the bottom of my heart! "," We're a Customer Service Company that just happens to also fly airplanes, Heather. Thanks for sharing the love! "," You guys helped me so much trying to get me on a flight that was not even through yours, amazing company, amazing people, thank you so muchðŸ’• "," Just 'cause you're not traveling with us doesn't mean we can't be there for you Heather! Glad we could help, and have a great weekend! "
" I think we understand HOW it works, it's just frustrating that it USED to be much more user-friendly before this update. "," If browsing from Home, press the option for more details &gt; and go to the show page &gt; and use the Episodes tab to browse/pick an ep. ", Itâ€s not intuitive. Takes me too long to find the episode I want instead of the episode presented to me. ," We're sorry to hear this, Heather! Anything in particular about the new app that you find frustrating? We're here to help. ", Yep. Challenging. Frustrating. Things you donâ€t need when youâ€re just trying to watch Bobâ€s Burgers. , It's....very challenging. ,I feel itâ€s important to remind that its new interface has made watching what you want to watch nearly impossible. Zero stars. , 
 Sounds like generic replh ," We'd hate to see you go! HDMI mirroring isn't supported at this time, but we'll be sure to share the interest in this w/our team ",Love but lost home internet& just learned canâ€t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess Iâ€ll have to cancel all of Hulu and & look at or something like that ðŸ˜¢ why why??? , , , , , 
 What if you do like and and have a student discount ,i am a college student why canâ€t i still use my Momâ€s/family account while Iâ€m away at college , , , , , , 
 Do u expect people to travel with a compass??? , Hi there. Buses depart from the northern interchange at Reading. Phil. ,boarding the 22:45 from pad to swindon. Where in reading do I have to go for the bus?dont usually find staff to help!!! , , , , , 
 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB ,fuck you fix my connection , , , , , , 
 Do you have a good contact number where you can be reached? , I've sent several private messages!!! and no one responds! , Just click â€˜Messageâ€ at the top of your profile. We're always here and eager to assist. ,how can I get in touch with someone that matters at Spring Corporate , , , , 
" We got two burritos, chips and queso. ðŸ‘ðŸ¼ ", The absolute best. What are you going to order? ,Getting that 3 buck burrito from is becoming a tradition on Halloween , , , , , 
" I'm not frustrated, just sad. But thanks for the compassion. "," It was my favorite, too. My apologies for any frustration. ",Hey why don't you have chorizo anymore it was the best thing on the menu , , , , , 
 Hey! Did things go to plan? Just checking if your W. Broadway location in Vancouver is open today... ," Yeah, buddy! Send us a pic, for sure. ", Woohoo! I'm gonna be first in line. ðŸ˜„ ," If all goes to plan, we should be open on Friday! ",Hey Any word on when your 532 W. Broadway location in Vancouver will open? Can't wait any more!! , , , 
" No costume, Becky. No one wanted to be Shrek with me. Tis a sad, sad Tuesdayâ˜¹ï¸ ", Oh noooo! Why not this year? ,I think this is the first time since its birth that I havenâ€t gone to on Halloween for my annual boorito ðŸ˜ž , , , , , 
 Pray for me Becky , ðŸ˜³ ,It's Halloween and my total at was $6.66..... , , , , , 
 That sounds so epic. ,i just walked into wearing my mermaid man costume to get a $3 burrito and & Iâ€ve never felt more alive , , , , , , 
 no! it just says amount due $27.04 , Does this bill say Final Bill? ,Why am I still receiving a bill for oct when I disconnected by account on sept 20th? pls advise and & reverse the charges. , , , , , 
 Been locked out of my account for 2 hrs. 2 different agents have â€œreset my account for meâ€ and & still no dice as soon as they get off phone ,"Good morning, a customer service rep just made me cry. ", , , , , , 
 Itâ€s ok I fixed it thanks ," Hi there, Sorry to hear that, Are you getting an error message or an error code, Let us know more details please? ", but out of the games the buttons work solutions? ,My PS4 lets me load up games but then I canâ€t do anything in them eg Fortnite canâ€t press X to continue , , , , 
 please help ,hi I accidentally bought a psp game on the PlayStation store thinking it was for ps3. I donâ€t have a psp. can I return it? , , , , , , 
 2/2 to the merchant's site to make the purchase. ,Hi do I have to go through the Chase Online Ultimate Rewards webpage to get the extra cash back when I shop? , , , , , , 
" Hello, this does not sound good. Can you DM the account name and complete service address? We would like to help. ",Next day turnaround on an outage issue? for the when it comes to dealing with outages , , , , , , 
 It needs to be fixed. Permanently. Now. , I don't want you to feel this way. What's going on? ,So is back fucking me again with my BUSINESS plan internet. Super cool company. I don't recommend. , , , , , 
 I just did. ," Hi Jean-Claude, I hope you do not have any service interruptions. If you need assistance, reach out to us. ",Been lookong forward to binge on just hope we have internet. a lot of outages in the neighborhood lately. , , , , , 
 How do I setup automatic declines? Its not listed in your help centre and Iâ€m struggling to find the settings , This is to help sell your items. Be sure to set up Automatic Decline in your settings so you don't have to see low offers. ,can you remove the best offer facility from buy it now items?? I am selling items that I do not wish to offer â€˜best offerâ€ , , , , , 
" Please do! â€œAs a user, I would like to hide irrelevant or old contacts from suggestions, in order to make room for relevant ones.â€ :) "," Hi there, currently it isnâ€t possible to hide the suggestion list, however we can certainly forward this request to our dev team! ","How do I remove the suggested contacts in ""Invite people to Paper"" column? I don't have any third party contacts connected. ", , , , , 
" 3 times over an hour on the phone, letâ€s just hope everything is correct now Iâ€d hate for something to be wrong for a special occasion ", Have you spoken to our team on the phone about this? What were you advised? ,"3rd call to hoping everything is sorted, booked flights for 4 guys and 2 peoples details were incorrect should I be worried? ", , , , , 
 Thanks ,Thank you for your patience. We'll call you shortly. , , , , , , 
 Anytime after 12noon today or anytime tomorrow , Weâ€re here from 8:00 am-9:00 pm ET Monday-Friday and 11:00 am-8:00pm ET Saturday. When is the best time to reach you? , Whenever your ready , I am sorry I missed your call. Please let me know when you are able to talk about your information. ," Okay, I'm currently on the middle of something, I will return your call shortly thank you ", I called and left a message for you. Please return my call at the number provided or DM me when you are available. ," Thank you because I just was beginning to become comfortable with you all, Everything was going great ", I'm sorry to see this and want to see how I can help. I will give you a call at the number you previously sent. 
" Connection via Ethernet not possible where he is, also there's no file to delete and & restart as said before he's done a power cycle? "," Hello! Most of the time connecting via ethernet can help, or restarting the console, router, and download. ","my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please? ", , , , , 
 Change your hold music from being a 2 min loop for the love of god. ," I apologize for the poor experience you've had with us. If there is anything that I can help you with, please DM me. ","I heard you guys were bad; after an install no-show and & 25+ min of being on hold, I'm thinking the rumors were true. ", , , , , 
 I sure can! , We hate to hear this. Can you DM us what happened? ,I get that itâ€s Halloween but this dude at the Canonsburg is flipping out. Literally screaming. He said heâ€s the general managerðŸ˜³ , , , , , 
" Ahhh this cracks me up. My sis paid $40 for guaranteed 3 day shipping too, and it took 13 days to get to me. is the worst. ","Hey you just gained a customer lost my package I paid for overnight first am delivery, they ""lost"" it hope you can do better ", , , , , , 
 but I canâ€t find the options to cancel or re-order? , Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ,my order hasnâ€t arrived (it was due 14th October). Can you help? , , , , , 
 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ,my order hasnâ€t arrived (it was due 14th October). Can you help? , , , , , , 
 I have. No luck. ," Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ",please spend time and & money to fix your app. Constant issues with it. , , , , , 
 Itâ€s not allowing me to update it to register my new amazon account. I read Iâ€d have to do so manually. Thx 4 response. ," Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ",My Kindle not working properly is breaking my heart! ðŸ˜ðŸ’” , , , , , 
" it has, but not for some time now. iâ€ve tried with two different apple ids but itâ€s still not showing up on my phone ", We're happy to help. Has Home Sharing worked with these devices before? ,why is my home sharing not working and how do i fix it , , , , , 
 Worked ðŸ‘ŒðŸ½ , Please keep us posted afterwards. , No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that , Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it? ,why wonâ€t my apps fuccin download or update , , , 
 You've lost me as a customer ," The most appropriate action to take, is to ensure this is addressed with the colleague concerned. TY Chris 2/2 "," I am a regular customer and spend at least Â£50 a week with you, so pretty poor apology. Feel like shopping somewhere else "," Are you able to send us your name, address and & email by DM please and & we will get back to you shortly Mike 2/2 ", id tell Paul to wash his mouth out with soap. cheers ,hi an answerphone message from your delivery driver ended with him saying 'fuck you' (he obviously thought he'd put the phone down) , , 
" I am a regular customer and spend at least Â£50 a week with you, so pretty poor apology. Feel like shopping somewhere else "," Are you able to send us your name, address and & email by DM please and & we will get back to you shortly Mike 2/2 ", id tell Paul to wash his mouth out with soap. cheers ,hi an answerphone message from your delivery driver ended with him saying 'fuck you' (he obviously thought he'd put the phone down) , , , , 
 Yes. And isnâ€t diverted?! , I am showing DL 1262 is from LAS JFK? ,hi. Any news why DL1262 diverted to AUS and DL1738 to SMF? Thanks , , , , , 
 Oh no! One moment as I take a look. ,hi. Any news why DL1262 diverted to AUS and DL1738 to SMF? Thanks , , , , , , 
 Bummer! I promised them some info and in my hurry to get to my next flight forgot to leave my business card ðŸ˜ ," Hey there, unfortunately, we are not able to assist with this request. ","I was on flight 2222 LAX to ATL at 645am I'm trying to forward a message to one of the FAs, are you able to assist? ", , , , , 
 Can I get the 35$ refunded for the seat cost I never got? ," We appreciate your feedback, Jenna and thank you for sharing your concerns. ", Flights are what they are already. Just frustrated. I got this Amex but no real perks. Wondering when the perks actually happen. ," Hi, Jenna. I apologize for your seating issue. Pls DM your conf if I may assist, ",just donâ€t know what I gotta do to not be treated like crap. Apparently spending thousands on your Amex isnâ€t cutting it. , , , 
 Here to help! Please DM (direct message) us your email address so we can follow up. Thanks! ,I have submitted complain against over charging but still not response from uber support!!!! , , , , , , 
 1.0.65.320.gac7a8e02 ," Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB "," Desktop app still not working, but I got to see the cool thing (Easter egg) so Iâ€m ecstatic! ðŸ˜ŠðŸ˜Š ", I tried it on web browser and it worked! ðŸ˜Š ," Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB "," using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates! ", Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB ,Why are my devices not doing the cool thing when I play the albums on ðŸ˜­ 
" Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks ", Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH ,"why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 2017 is there? ", , , , , 
" She's been trying to do that, that's the point! You should be contacting her as she can't get through to you via phone or email ", Is your mother able to contact us directly? 2/2 , Can you please contact __email__ and can give you further details please , We're disappointed to hear this Stephen. Is there something you would like our assistance with? ,call centre has the worst customer serivce ever. keep you on hold for endless hours without an apology. Mum is not happy! , , , 
 Neither SD or HD for NBC or ABC can be seen. An error message says 03059. Rebooting didnâ€t help. ," Hello, I will be happy to help you. Please DM so we can further assist you, thank you. ",Is this a trick? No NBC WPTV or ABC WPBF in PSL this afternoon! Why these 2 channels? , , , , , 
 like lucky iâ€m home but what the fuck ,"love that sent people to bury the new cable line....on halloween.....in the middle of trick or treat times, with no notification ", , , , , , 
 PAY ATTENTION TO ME ,what's going on man where's my internet , , , , , , 
 They'll be more than happy to walk you through it and help with the booking process. ," already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!! ", We're sorry for any difficulties that you've experienced. Please contact our Web Technical Support folks at 800-222-2377. ,Trying to book a flight on and an error comes up: System having trouble. Anyone else having problem? , , , , 
 Fares sell in real time. We're sorry we weren't able to snag the lower fare for you. , well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg , We're sorry for the long wait. The next available agent will be with you as soon as possible. , made the booking. I am trying to pay.....so , They'll be more than happy to walk you through it and help with the booking process. ," already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!! ", We're sorry for any difficulties that you've experienced. Please contact our Web Technical Support folks at 800-222-2377. ,Trying to book a flight on and an error comes up: System having trouble. Anyone else having problem? 
 We're glad our Reservations team was able to help. , finally booked and they honored lower fare....that was still available on line , Fares sell in real time. We're sorry we weren't able to snag the lower fare for you. , well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg , We're sorry for the long wait. The next available agent will be with you as soon as possible. , made the booking. I am trying to pay.....so , They'll be more than happy to walk you through it and help with the booking process. ," already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!! "
" Found it!! But doesn't seem to work, can you check if funds are available? "," Hey, Jennifer. You have two travel funds, correct? Unfortunately, we don't track travel funds. Do you possibly have the emails? ",I have two vouchers but can't seem to track down my confirmation numbers. Anyway to look them up? Thanks! , , , , , 
" Bummer, might have to watch my back on Nov. 13 too for Sadie Hawkins day on the airline of LUV. "," Maybe next year? We can't wait to welcome you onboard, Matthew! We hope you have a wonderful flight. ",Unlucky not to be flying on today and have to wait until Nov. 8th. Would have been nice to have had a free drink on flight. , , , , , 
 done please check , Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up? ,kya khassi support hai yaar i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number ðŸ‘ºðŸ‘º , , , , , 
 Yes I do. You want me to dm you or just write it on the comments??? ," Hello, do you have an order number we can check for you? ", I havenâ€t received no type of new besides my Oder is pending for day. ,Have you Pre-Ordered yours yet? ðŸ‘€ , , , , 
" Hey :)! Let's look into this, DM us. ",chk ur latest bill. I paid for note 8 shipping w/debit when ordered. Latest bill shows ship charge. This happened to other friends. , , , , , , 
" Youâ€re a bunch of crooks, you donâ€t care about happy customers, yâ€all just want money, save me the BS ", This is concerning. What makes you feel this way? What seems to be the issue? We'll be happy to assist. ,is honestly trash , , , , , 
